pop,x_coord,y_coord
SAS,-20.8971259095,-21.4804309159
SAS,-16.3788605406,-16.7968445273
AFR,-0.537625414945,-8.21896186652
AFR,0.280541149105,-26.5600355244
AFR,4.09725534024,-24.0608450865
AFR,-18.5058108475,-19.7950059913
EUR,-2.63390408506,-16.6526372733
AFR,-0.349197699163,-25.5148772419
AFR,-9.42887911157,-18.7165751387
AFR,-15.8011731367,-18.8132972372
AFR,-2.07310794415,-11.6064541627
AFR,5.98607931465,-14.2979959031
AFR,-5.95883375327,-19.4574530201
AFR,-2.47143863976,-18.9257756669
EUR,1.13251840921,-9.33852988067
EUR,-0.833079658947,-5.94862029792
AMR,0.947702379546,-19.208886692
AMR,-19.4755170595,-21.1223460725
EUR,-3.09360650899,-13.2406177191
SAS,1.66644214984,-24.4042503773
EAS,0.582078288959,-11.0115390584
EAS,6.84053425752,-25.4052572285
SAS,-2.80003509588,-18.356633722
EUR,-15.5612782182,-21.3981875185
EAS,4.52358039629,-20.7577077338
AFR,4.10849009455,-23.5201201979
AMR,-3.46618796264,-17.3728937518
EAS,-14.6536189494,-25.8383337567
EAS,-0.314506375462,-17.4049408037
EAS,2.80578675056,-16.2963384814
AMR,8.1198869335,-28.0678240697
AMR,2.45719720999,-9.54576582424
AFR,-8.074854727,-11.3826821462
AMR,9.3769747734,-27.8695064773
EUR,3.87434668978,-27.0314903021
EAS,-0.245767409484,-11.1227124371
EUR,-8.50373864992,-15.9180267275
EUR,-5.43245478302,-20.6499877765
SAS,-2.79259209596,-15.9042302505
EUR,-7.85915176162,-19.0631355014
SAS,-7.62584795281,-26.0194455708
SAS,-9.63598580303,-22.4539688803
EUR,-1.41407482116,-21.6414609454
AFR,-1.51234970832,-22.5970659553
AFR,4.02385954242,-28.7466535034
AFR,-15.4721977708,-23.4406086772
SAS,-14.8907957099,-27.4195163792
SAS,6.37259143558,-17.1206311202
EAS,-3.31521978548,-15.8618544821
EUR,-21.2172783102,-19.3986056363
SAS,3.08971122241,-13.9685108695
EUR,3.56873358494,-14.8597029201
AMR,-0.170465659662,-18.4518661683
AFR,-17.580742948,-16.7525896162
SAS,-3.7241029678,-20.8753117068
AMR,-1.17184456399,-13.6953764454
AFR,-15.3134149928,-17.8668906275
EUR,-5.49993587464,-17.7179690087
AMR,-2.8509910064,-19.1656427548
EUR,-0.584215546583,-16.9862799354
SAS,-0.326217755266,-33.9187346511
AFR,-14.9144662592,-21.3971974995
EUR,3.12044753086,-29.2151922599
EUR,-1.05748848409,-19.8883511906
AFR,1.1624722813,-25.3443867109
SAS,1.32792108376,-21.2812922616
AFR,-11.6743824553,-24.5207463059
AFR,-1.73508853142,-17.3301672033
AFR,-5.27401304511,-8.4828000342
AMR,-1.2779873263,-35.6347913486
AFR,0.144376070244,-22.4460167818
AFR,2.76788777092,-15.1585051839
AMR,-10.962620478,-20.3775148744
SAS,1.52246558018,-23.1714212971
EAS,4.32606930927,-16.6297231838
AFR,1.58405760849,-9.34448322714
AFR,-4.95904084688,-13.588306172
AFR,0.289805589159,-17.9645879899
AMR,-14.6671281651,-18.589452298
SAS,2.32852081389,-18.1300168151
EUR,-2.20259788264,-7.44323248698
EAS,0.103632369736,-20.0683250364
EUR,4.41263222911,-27.6351423534
EUR,6.68765003255,-21.9336702213
EAS,6.09699491887,-12.2597937817
SAS,-12.8820813244,-15.4481225092
SAS,-6.72343321839,-15.804644556
AFR,-9.99379268774,-21.6833507969
EAS,-16.0027588796,-20.9410513682
